# lambda (um)  fnu (mJy)  efnu (mJy)  N objects
    4.764      0.2272      0.1543   100
    4.803      0.2405      0.1478   101
    4.842      0.2537      0.1593   105
    4.881      0.2653      0.1544   108
    4.920      0.2398      0.1555   108
    4.960      0.2530      0.1657   109
    5.000      0.2704      0.1662   113
    5.040      0.3006      0.1382   115
    5.081      0.3231      0.1572   123
    5.122      0.3462      0.1878   129
    5.164      0.3802      0.1797   145
    5.205      0.4415      0.2047   148
    5.247      0.4600      0.1778   152
    5.290      0.4615      0.1864   152
    5.332      0.4960      0.1943   153
    5.376      0.4404      0.1875   154
    5.419      0.4288      0.1884   154
    5.463      0.4689      0.2051   154
    5.507      0.5129      0.2317   182
    5.551      0.5270      0.1953   185
    5.596      0.5607      0.2053   189
    5.641      0.6177      0.1920   190
    5.687      0.6394      0.1873   190
    5.733      0.6224      0.1667   190
    5.779      0.5816      0.1770   192
    5.826      0.5554      0.1887   193
    5.873      0.5572      0.1956   193
    5.921      0.5789      0.1784   193
    5.968      0.6402      0.1865   195
    6.017      0.7205      0.1839   204
    6.065      0.8008      0.2037   204
    6.114       1.005      0.2291   205
    6.164       1.429      0.3779   207
    6.213       1.783      0.5467   207
    6.264       1.641      0.4906   207
    6.314       1.332      0.3606   207
    6.365       1.122      0.2392   207
    6.417      0.9939      0.1976   207
    6.469      0.9117      0.1814   208
    6.521      0.8964      0.1528   208
    6.573      0.9067      0.1365   208
    6.627      0.9266      0.1540   208
    6.680      0.9559      0.1282   208
    6.734      0.9724      0.1482   208
    6.789      0.9609      0.1301   208
    6.843      0.9753      0.1504   208
    6.899       1.064      0.1543   208
    6.954       1.218      0.1778   208
    7.011       1.272      0.2000   208
    7.067       1.219      0.2166   208
    7.124       1.242      0.2078   208
    7.182       1.278      0.1964   208
    7.240       1.381      0.2967   208
    7.298       1.555      0.3480   208
    7.357       1.809      0.4268   208
    7.417       2.106      0.4815   208
    7.477       2.486      0.6162   208
    7.537       2.879      0.8074   208
    7.598       3.162      0.9129   208
    7.659       3.212      0.8941   208
    7.721       3.173      0.8724   208
    7.784       3.128      0.8465   208
    7.847       3.035      0.8310   208
    7.910       2.799      0.7546   208
    7.974       2.500      0.6505   208
    8.038       2.267      0.5491   208
    8.103       2.052      0.4988   208
    8.169       1.916      0.4440   208
    8.235       1.866      0.4554   208
    8.301       1.829      0.4512   208
    8.368       1.824      0.4992   208
    8.436       1.812      0.4964   208
    8.504       1.836      0.5841   208
    8.573       1.863      0.6794   208
    8.642       1.789      0.6538   208
    8.712       1.553      0.6267   208
    8.782       1.289      0.5465   208
    8.853       1.102      0.5010   208
    8.925      0.9690      0.4761   208
    8.997      0.9067      0.4709   208
    9.070      0.8034      0.4490   208
    9.143      0.7554      0.4503   208
    9.217      0.7509      0.4835   208
    9.291      0.7006      0.4537   208
    9.366      0.6793      0.4733   208
    9.442      0.7016      0.4766   208
    9.518      0.7172      0.5017   208
    9.595      0.7515      0.4884   208
    9.673      0.7857      0.5006   208
    9.751      0.7258      0.5208   208
    9.830      0.7260      0.5464   208
    9.909      0.7081      0.5433   208
    9.989      0.7117      0.5207   208
    10.07      0.7209      0.5400   208
    10.15      0.7311      0.5183   208
    10.23      0.7360      0.5469   208
    10.32      0.7527      0.5561   208
    10.40      0.8160      0.5864   208
    10.48      0.9297      0.6597   208
    10.57       1.004      0.6639   208
    10.65      0.9862      0.6484   208
    10.74       1.005      0.6210   208
    10.83       1.032      0.6600   208
    10.91       1.154      0.7201   208
    11.00       1.369      0.7761   208
    11.09       1.740      0.9520   206
    11.18       2.794       1.464   206
    11.27       3.237       1.499   206
    11.36       2.713       1.249   205
    11.45       2.244       1.062   204
    11.55       1.942      0.9064   201
    11.64       1.813      0.8525   201
    11.73       1.791      0.7818   200
    11.83       1.854      0.8367   199
    11.92       1.979      0.8548   198
    12.02       2.086      0.8304   198
    12.12       2.159      0.8357   198
    12.22       2.311      0.8206   198
    12.31       2.522      0.8854   197
    12.41       2.662      0.9941   197
    12.51       2.894       1.049   193
    12.61       3.215       1.164   193
    12.72       3.878       1.438   193
    12.82       4.406       1.719   193
